epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,20373.2,0.8907,0.64002,1.20944,0.80284,0.70178,0.74245,0.50862,0.99471,0.6235,1.26565,0.00307,0.00307,0.00307
72,20661.3,0.88327,0.63292,1.21117,0.81091,0.71337,0.74934,0.50813,0.99571,0.62398,1.26666,0.002971,0.002971,0.002971
73,20947.6,0.88525,0.62846,1.21088,0.83082,0.68323,0.75048,0.50877,0.99459,0.62271,1.26722,0.002872,0.002872,0.002872
74,21233.4,0.8807,0.62586,1.20629,0.78596,0.70295,0.73801,0.50243,0.99307,0.62344,1.26578,0.002773,0.002773,0.002773
75,21518.8,0.88105,0.62734,1.20546,0.84545,0.67619,0.742,0.50688,0.99422,0.61769,1.26753,0.002674,0.002674,0.002674
76,21806.4,0.87907,0.62012,1.2072,0.8038,0.69099,0.74149,0.50735,0.99196,0.61407,1.26474,0.002575,0.002575,0.002575
77,22092.2,0.86758,0.61371,1.19977,0.84692,0.67487,0.75079,0.51413,0.99112,0.61288,1.26355,0.002476,0.002476,0.002476
78,22379,0.86469,0.60604,1.1907,0.80633,0.69683,0.74747,0.51447,0.99272,0.61407,1.26386,0.002377,0.002377,0.002377
79,22667.4,0.86501,0.61192,1.19266,0.78593,0.69446,0.74121,0.5135,0.9897,0.61408,1.26391,0.002278,0.002278,0.002278
80,22953.9,0.87444,0.61539,1.20107,0.84363,0.69352,0.74868,0.51427,0.99345,0.61475,1.26371,0.002179,0.002179,0.002179
81,23240.4,0.86029,0.60686,1.19392,0.83553,0.6878,0.74795,0.51771,0.99174,0.61571,1.2639,0.00208,0.00208,0.00208
82,23525.9,0.85375,0.59824,1.18963,0.82139,0.69702,0.74722,0.51845,0.99042,0.61678,1.26102,0.001981,0.001981,0.001981
83,23805.3,0.86012,0.60082,1.18806,0.82846,0.69149,0.74862,0.51834,0.99147,0.61205,1.26202,0.001882,0.001882,0.001882
84,24084.1,0.85737,0.59411,1.18775,0.83288,0.68171,0.743,0.51273,0.99204,0.60963,1.26261,0.001783,0.001783,0.001783
85,24362.6,0.85427,0.59121,1.18272,0.82334,0.68977,0.74832,0.51306,0.99058,0.60748,1.26218,0.001684,0.001684,0.001684
86,24640.8,0.85027,0.5898,1.18255,0.77674,0.6954,0.74089,0.50891,0.99137,0.60959,1.26347,0.001585,0.001585,0.001585
87,24919.7,0.84786,0.5899,1.17809,0.78487,0.70203,0.74277,0.51107,0.99029,0.60879,1.26316,0.001486,0.001486,0.001486
88,25198.6,0.8431,0.58606,1.1758,0.78447,0.71477,0.74524,0.51314,0.98796,0.60813,1.26137,0.001387,0.001387,0.001387
89,25477.2,0.84529,0.58351,1.17727,0.80506,0.70857,0.74776,0.51462,0.989,0.60756,1.26185,0.001288,0.001288,0.001288
90,25755.7,0.83362,0.57887,1.17634,0.82966,0.70085,0.75315,0.51753,0.98948,0.60551,1.26199,0.001189,0.001189,0.001189
91,26056.2,0.88067,0.53346,1.15083,0.8233,0.69582,0.75221,0.51487,0.98797,0.60687,1.26109,0.00109,0.00109,0.00109
92,26325.7,0.861,0.51695,1.13617,0.81094,0.6994,0.7485,0.51224,0.98837,0.60919,1.26227,0.000991,0.000991,0.000991
93,26593.9,0.85031,0.50979,1.13354,0.79991,0.70821,0.75221,0.51335,0.98881,0.60845,1.26359,0.000892,0.000892,0.000892
94,26862.2,0.85135,0.50384,1.12524,0.80362,0.70632,0.74786,0.51281,0.98923,0.60774,1.26525,0.000793,0.000793,0.000793
95,27129.6,0.84829,0.50368,1.12495,0.82144,0.70334,0.75284,0.51643,0.98868,0.60604,1.26554,0.000694,0.000694,0.000694
96,27397.4,0.85044,0.49949,1.12367,0.82021,0.70305,0.75503,0.51803,0.98889,0.60771,1.265,0.000595,0.000595,0.000595
97,27668.2,0.84552,0.49631,1.11776,0.83808,0.69667,0.75778,0.51983,0.98956,0.60754,1.26354,0.000496,0.000496,0.000496
98,27936.3,0.84221,0.49344,1.1192,0.8045,0.71311,0.75718,0.52085,0.98872,0.60769,1.26346,0.000397,0.000397,0.000397
99,28204.2,0.83693,0.49184,1.11483,0.79734,0.71984,0.75827,0.52113,0.98799,0.60614,1.26409,0.000298,0.000298,0.000298
100,28471.4,0.82827,0.48572,1.10778,0.79884,0.71744,0.75653,0.52158,0.9886,0.60532,1.26448,0.000199,0.000199,0.000199
